city,format,intent,submitted_keyword,returned_keyword,close_variants,grouped_submitted_keywords,grouped_by_google,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography_method,interpretation,observed_at
Manchester,Darts,discovery,darts Manchester,darts manchester,darts Manchester,darts Manchester,no,2900,MEDIUM,45,1.0050,0.3592,1.0131,2025-august:1300|2025-september:1900|2025-october:2900|2025-november:2900|2025-december:3600|2026-january:3600|2026-february:2900|2026-march:5400|2026-april:6600|2026-may:1600|2026-june:1000|2026-july:1000,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,repeat_programme,darts league Manchester,darts league manchester,darts league Manchester,darts league Manchester,no,20,LOW,3,2.3367,0.0000,0.0000,2025-august:10|2025-september:20|2025-october:20|2025-november:10|2025-december:20|2026-january:40|2026-february:20|2026-march:30|2026-april:30|2026-may:30|2026-june:10|2026-july:20,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Darts,beginner_or_adult,darts club Manchester,darts club manchester,darts club Manchester,darts club Manchester,no,70,LOW,24,0.9884,0.2840,1.4081,2025-august:50|2025-september:70|2025-october:70|2025-november:90|2025-december:90|2026-january:110|2026-february:70|2026-march:50|2026-april:50|2026-may:40|2026-june:20|2026-july:30,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,discovery,line dancing Manchester,line dancing manchester,line dancing Manchester,line dancing Manchester,no,320,LOW,3,1.7340,0.5363,4.7530,2025-august:320|2025-september:390|2025-october:480|2025-november:320|2025-december:260|2026-january:390|2026-february:320|2026-march:320|2026-april:390|2026-may:260|2026-june:260|2026-july:260,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Line dancing,repeat_programme,line dancing classes Manchester,line dancing classes manchester,line dancing classes Manchester,line dancing classes Manchester,no,30,LOW,1,0.0000,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:40|2025-november:40|2025-december:40|2026-january:40|2026-february:30|2026-march:20|2026-april:20|2026-may:40|2026-june:30|2026-july:20,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Salsa,discovery,salsa dancing Manchester,salsa dancing manchester,salsa dancing Manchester,salsa dancing Manchester,no,480,LOW,7,1.1864,0.2594,1.2086,2025-august:480|2025-september:480|2025-october:480|2025-november:480|2025-december:390|2026-january:480|2026-february:480|2026-march:480|2026-april:390|2026-may:480|2026-june:390|2026-july:390,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Salsa,repeat_programme,salsa classes Manchester,salsa classes manchester,salsa classes Manchester,salsa classes Manchester,no,480,LOW,17,0.9040,0.2415,1.1937,2025-august:480|2025-september:590|2025-october:480|2025-november:480|2025-december:390|2026-january:590|2026-february:590|2026-march:480|2026-april:390|2026-may:480|2026-june:390|2026-july:390,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Board-game events,discovery,board game cafe Manchester,board game cafe manchester,board game cafe Manchester,board game cafe Manchester,no,720,LOW,7,0.5127,0.5949,1.6812,2025-august:720|2025-september:720|2025-october:720|2025-november:720|2025-december:590|2026-january:880|2026-february:880|2026-march:720|2026-april:720|2026-may:590|2026-june:590|2026-july:480,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Pottery painting,discovery,pottery painting Manchester,pottery painting manchester,pottery painting Manchester,pottery painting Manchester,no,4400,HIGH,100,0.4145,0.2773,0.6559,2025-august:4400|2025-september:4400|2025-october:5400|2025-november:4400|2025-december:3600|2026-january:5400|2026-february:5400|2026-march:4400|2026-april:3600|2026-may:3600|2026-june:2900|2026-july:3600,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
Manchester,Wine tasting,discovery,wine tasting Manchester,wine tasting manchester,wine tasting Manchester,wine tasting Manchester,no,1600,HIGH,100,0.5970,0.3055,0.8367,2025-august:1300|2025-september:1600|2025-october:1600|2025-november:1900|2025-december:2400|2026-january:1600|2026-february:1600|2026-march:1300|2026-april:1300|2026-may:1300|2026-june:1000|2026-july:1300,explicit_city_query_under_uk_target,One submitted phrase mapped to this returned observation,2026-09-03
